Avg student total points per grade,Total Points per Student,Grade,Points,Subject,Score,Student ID
32.4043321299639,46,F,1,Geography,61,131
32.4043321299639,46,F,1,Maths,64,131
32.4043321299639,55,F,1,English,60,928
32.4043321299639,43,F,1,English,61,760
32.4043321299639,43,F,1,Art,60,541
32.4043321299639,45,F,1,Spanish,64,897
32.4043321299639,47,F,1,English,63,326
32.4043321299639,43,F,1,Art,60,791
32.4043321299639,51,F,1,Maths,65,654
32.4043321299639,43,F,1,English,65,380
32.4043321299639,43,F,1,History,64,861
32.4043321299639,53,F,1,Art,63,809
32.4043321299639,49,F,1,Geography,65,945
32.4043321299639,49,F,1,Science,65,857
32.4043321299639,42,F,1,History,63,842
32.4043321299639,42,F,1,Art,62,842
32.4043321299639,47,F,1,History,65,547
32.4043321299639,50,F,1,Spanish,63,844
32.4043321299639,50,F,1,English,65,844
32.4043321299639,42,F,1,Art,64,993
32.4043321299639,42,F,1,English,61,993
32.4043321299639,44,F,1,Geography,62,4
32.4043321299639,44,F,1,Maths,65,4
32.4043321299639,47,F,1,Spanish,62,865
32.4043321299639,43,F,1,Science,62,271
32.4043321299639,43,F,1,English,63,530
32.4043321299639,55,F,1,Science,66,624
32.4043321299639,45,F,1,English,61,975
32.4043321299639,51,F,1,History,60,84
32.4043321299639,43,F,1,Maths,60,113
32.4043321299639,45,F,1,History,60,426
32.4043321299639,47,F,1,Science,64,608
32.4043321299639,45,F,1,Art,63,263
32.4043321299639,46,F,1,Spanish,63,769
32.4043321299639,46,F,1,English,65,769
32.4043321299639,44,F,1,Geography,65,605
32.4043321299639,44,F,1,Maths,63,605
32.4043321299639,46,F,1,Spanish,62,161
32.4043321299639,46,F,1,English,61,161
32.4043321299639,43,F,1,History,65,659
32.4043321299639,43,F,1,Spanish,60,285
32.4043321299639,42,F,1,History,62,788
32.4043321299639,42,F,1,Science,61,788
32.4043321299639,45,F,1,Art,60,493
32.4043321299639,49,F,1,Geography,64,996
32.4043321299639,43,F,1,Geography,64,506
32.4043321299639,43,F,1,Art,62,706
32.4043321299639,51,F,1,Art,60,89
32.4043321299639,51,F,1,Spanish,65,63
32.4043321299639,43,F,1,Maths,64,510
32.4043321299639,50,F,1,Geography,64,358
32.4043321299639,50,F,1,Spanish,60,358
32.4043321299639,45,F,1,Maths,63,14
32.4043321299639,43,F,1,Geography,61,705
32.4043321299639,57,F,1,Maths,62,56
32.4043321299639,42,F,1,History,61,944
32.4043321299639,42,F,1,English,63,944
32.4043321299639,42,F,1,Science,63,449
32.4043321299639,42,F,1,Art,62,449
32.4043321299639,45,F,1,Maths,64,625
32.4043321299639,42,F,1,Geography,61,191
32.4043321299639,42,F,1,Maths,61,191
32.4043321299639,43,F,1,Science,66,735
32.4043321299639,43,F,1,Maths,62,831
32.4043321299639,51,F,1,Geography,60,42
32.4043321299639,42,F,1,History,61,953
32.4043321299639,42,F,1,Maths,64,953
32.4043321299639,43,F,1,Science,61,658
32.4043321299639,43,F,1,Maths,63,607
32.4043321299639,45,F,1,Science,62,841
32.4043321299639,43,F,1,Spanish,66,47
32.4043321299639,45,F,1,Geography,65,96
32.4043321299639,51,F,1,Science,61,272
32.4043321299639,49,F,1,Art,61,159
32.4043321299639,47,F,1,Geography,63,766
32.4043321299639,51,F,1,English,64,377
32.4043321299639,45,F,1,History,65,951
32.4043321299639,45,F,1,Geography,61,216
32.4043321299639,43,F,1,Geography,62,44
32.4043321299639,43,F,1,Geography,65,635
32.4043321299639,43,F,1,Science,61,753
32.4043321299639,43,F,1,Art,61,753
32.4043321299639,43,F,1,Maths,63,753
32.4043321299639,43,F,1,English,64,952
32.4043321299639,43,F,1,Maths,62,105
32.4043321299639,43,F,1,English,65,694
32.4043321299639,43,F,1,English,64,325
32.4043321299639,49,F,1,History,62,932
32.4043321299639,45,F,1,History,65,434
32.4043321299639,44,F,1,Maths,65,532
32.4043321299639,44,F,1,Spanish,61,532
32.4043321299639,45,F,1,English,61,724
32.4043321299639,42,F,1,Science,62,828
32.4043321299639,42,F,1,English,64,828
32.4043321299639,53,F,1,Maths,61,544
32.4043321299639,43,F,1,Spanish,60,288
32.4043321299639,49,F,1,English,65,25
32.4043321299639,45,F,1,English,66,188
32.4043321299639,45,F,1,Maths,62,225
32.4043321299639,43,F,1,English,63,728
32.4043321299639,43,F,1,Spanish,65,280
32.4043321299639,45,F,1,History,61,240
32.4043321299639,44,F,1,History,63,235
32.4043321299639,44,F,1,Science,60,235
32.4043321299639,43,F,1,Science,64,661
32.4043321299639,47,F,1,Spanish,62,504
32.4043321299639,49,F,1,Art,60,22
32.4043321299639,43,F,1,History,63,829
32.4043321299639,47,F,1,Science,65,435
32.4043321299639,46,F,1,Science,66,715
32.4043321299639,46,F,1,Art,64,715
32.4043321299639,44,F,1,History,60,341
32.4043321299639,44,F,1,Science,60,341
32.4043321299639,42,F,1,Geography,63,360
32.4043321299639,42,F,1,Maths,62,360
32.4043321299639,45,F,1,Science,63,209
32.4043321299639,43,F,1,Science,61,302
32.4043321299639,51,F,1,Maths,61,985
