StoreID,CustomerID,OrderID,Order Date,ProductID,Returned,Quantity,Sales
3,201,1347,24/01/2021,3,False,7,420.48999786376953
5,168,1284,03/07/2021,3,False,7,420.48999786376953
2,122,1175,09/04/2021,3,True,3,180.20999908447266
5,207,2079,13/03/2021,3,False,8,480.55999755859375
5,295,1867,06/02/2021,3,False,9,540.629997253418
4,301,1394,13/05/2021,3,False,1,60.06999969482422
5,266,1386,16/07/2021,3,True,4,240.27999877929688
3,80,1755,04/03/2021,3,True,4,240.27999877929688
3,326,2081,13/03/2021,3,False,8,480.55999755859375
4,302,1306,24/03/2021,3,False,6,360.4199981689453
3,164,2053,21/07/2021,3,False,9,540.629997253418
4,283,2097,07/01/2021,3,False,10,600.6999969482422
6,160,1588,14/05/2021,3,False,11,660.7699966430664
6,257,1924,15/01/2021,3,False,7,420.48999786376953
6,317,1272,19/02/2021,3,True,8,480.55999755859375
6,223,1295,24/02/2021,3,False,3,180.20999908447266
6,223,1526,03/05/2021,3,True,6,360.4199981689453
7,12,1795,15/07/2021,3,True,10,600.6999969482422
5,11,1116,08/06/2021,3,True,9,540.629997253418
6,22,1918,19/05/2021,3,False,11,660.7699966430664
4,22,1814,13/03/2021,3,True,5,300.3499984741211
7,50,1626,23/07/2021,3,False,5,300.3499984741211
6,292,1073,24/06/2021,3,False,7,420.48999786376953
2,299,1357,23/03/2021,3,False,5,300.3499984741211
4,134,1523,19/05/2021,3,True,10,600.6999969482422
2,134,1082,15/04/2021,3,True,3,180.20999908447266
4,346,1696,23/05/2021,3,False,9,540.629997253418
4,229,1601,11/06/2021,3,False,1,60.06999969482422
2,117,1351,25/03/2021,3,False,9,540.629997253418
2,335,1316,28/07/2021,3,False,11,660.7699966430664
2,47,2143,01/06/2021,3,False,5,300.3499984741211
7,260,1874,23/02/2021,3,False,6,360.4199981689453
5,246,2077,24/02/2021,3,False,9,540.629997253418
7,247,1285,03/07/2021,3,False,3,180.20999908447266
7,350,2027,17/04/2021,3,False,2,120.13999938964844
1,350,2023,05/02/2021,3,False,2,120.13999938964844
5,276,1871,01/04/2021,3,True,9,540.629997253418
1,252,1454,26/04/2021,3,False,10,600.6999969482422
5,37,1336,20/07/2021,3,False,5,300.3499984741211
1,291,1098,10/06/2021,3,True,11,660.7699966430664
1,208,1756,27/07/2021,3,False,5,300.3499984741211
3,201,1347,24/01/2021,42,False,2,11.979999542236328
5,122,1292,16/03/2021,42,False,3,17.969999313354492
5,171,1317,28/07/2021,42,False,8,47.91999816894531
3,300,1551,17/02/2021,42,False,9,53.90999794006348
3,295,2086,09/02/2021,42,False,3,17.969999313354492
3,266,1777,18/02/2021,42,False,10,59.89999771118164
5,197,1885,26/03/2021,42,True,8,47.91999816894531
6,133,1622,20/05/2021,42,False,7,41.92999839782715
4,133,1227,26/04/2021,42,False,11,65.8899974822998
3,35,1942,14/05/2021,42,True,9,53.90999794006348
3,81,1153,16/06/2021,42,False,5,29.94999885559082
